Full Course List,Credits,Enrollment Auto-Count
MADR 1001 Beginning Spanish (I),5,11
MADR 1002 Beginning Spanish (II),5,1
MADR 1003 Intermediate Spanish (I),5,2
MADR 1004 Intermediate Spanish (II),5,3
MADR 3001 Financial Management,3,6
MADR 3002 Ecology Of Spain,3,13
MADR 3006 World Religion,3,16
MADR 3008 Fundamentals Of Marketing,3,6
MADR 3012 Internship In Spain,3,16
MADR 3013 Spanish Civilization (esp),3,5
MADR 3014 Corporate Social Responsibility,3,14
MADR 3017 Spanish Conversation,3,14
MADR 3018 Introduction To Biological Psychology,3,7
"MADR 3019 Culture, Globalization & The Media",3,16
MADR 3021 Art At the Prado Museum,3,19
MADR 3023 Human Neuroanatomy,3,5
MADR 3024 Spanish For The Workplace,3,11
MADR 3025 Modern Masters,3,18
MADR 3026 100% Made In Spain (esp),3,7
MADR 3027 Contemporary Spanish History Through Film (esp),3,3
MADR 3031 Sensation And Perception,3,13
MADR 3081W Program Design And Development,4,2
MADR 3206 Health Psychology,3,16
MADR 3301 Cross-Cultural Psychology,3,22
MADR 3604 Intro To Psychopathology,3,9
MADR 3711 Psychology In The Workplace,3,24
MADR 4041 Algorithms & Data Structures,4,5
MADR 4511W Intro To AI,4,6
MADR 4611 Programming Interactive Computer Graphics And Games,4,3
MADR 4901 Research Laboratory In Psychology,3,13
MADR 5448 Cryptology & Number Theory,3,0
FOST 3352 UMN Global Identity,1,0
