student_name,course_1,course_2,course_3,course_4,course_5
Student 1,MADR 3006 World Religion,MADR 3014 Corporate Social Responsibility,MADR 3711 Psychology In The Workplace,MADR 3002 Ecology Of Spain,
Student 2,MADR 1001 Beginning Spanish (I),MADR 3006 World Religion,MADR 3014 Corporate Social Responsibility,MADR 3711 Psychology In The Workplace,
Student 3,"MADR 3019 Culture, Globalization & The Media",MADR 3014 Corporate Social Responsibility,MADR 3301 Cross-Cultural Psychology,MADR 3711 Psychology In The Workplace,
Student 4,"MADR 3019 Culture, Globalization & The Media",MADR 3604 Intro To Psychopathology,MADR 4901 Research Laboratory In Psychology,MADR 3017 Spanish Conversation,
Student 5,MADR 3031 Sensation And Perception,MADR 3206 Health Psychology,MADR 3711 Psychology In The Workplace,MADR 3002 Ecology Of Spain,
Student 6,MADR 3001 Financial Management,MADR 3206 Health Psychology,MADR 3604 Intro To Psychopathology,MADR 3025 Modern Masters,
Student 7,MADR 3023 Human Neuroanatomy,MADR 3018 Introduction To Biological Psychology,MADR 3711 Psychology In The Workplace,MADR 3021 Art At the Prado Museum,
Student 8,MADR 4511W Intro To AI,UC3M 13205 Financial & Service Mkt,MADR 3012 Internship In Spain,MADR 3021 Art At the Prado Museum,MADR 1001 Beginning Spanish (I)
Student 9,MADR 1002 Beginning Spanish (II),MADR 3006 World Religion,MADR 3021 Art At the Prado Museum,MADR 3711 Psychology In The Workplace,
Student 10,MADR 3001 Financial Management,MADR 3206 Health Psychology,MADR 3025 Modern Masters,MADR 3012 Internship In Spain,
Student 11,MADR 4901 Research Laboratory In Psychology,MADR 3023 Human Neuroanatomy,MADR 3027 Contemporary Spanish History Through Film (esp),MADR 3604 Intro To Psychopathology,
Student 12,MADR 3206 Health Psychology,MADR 3301 Cross-Cultural Psychology,MADR 4901 Research Laboratory In Psychology,MADR 1001 Beginning Spanish (I),
Student 13,MADR 4901 Research Laboratory In Psychology,MADR 3002 Ecology Of Spain,MADR 3025 Modern Masters,MADR 3206 Health Psychology,MADR 3604 Intro To Psychopathology
Student 14,MADR 3017 Spanish Conversation,MADR 3024 Spanish For The Workplace,MADR 3006 World Religion,MADR 3025 Modern Masters,
Student 15,MADR 3301 Cross-Cultural Psychology,MADR 3013 Spanish Civilization (esp),MADR 3017 Spanish Conversation,MADR 3031 Sensation And Perception,MADR 3006 World Religion
Student 16,MADR 3008 Fundamentals Of Marketing,MADR 3012 Internship In Spain,"MADR 3019 Culture, Globalization & The Media",MADR 3014 Corporate Social Responsibility,
Student 17,MADR 1001 Beginning Spanish (I),MADR 3006 World Religion,MADR 3014 Corporate Social Responsibility,MADR 3711 Psychology In The Workplace,
Student 18,MADR 3021 Art At the Prado Museum,MADR 3711 Psychology In The Workplace,MADR 3002 Ecology Of Spain,MADR 3206 Health Psychology,
Student 19,MADR 3023 Human Neuroanatomy,MADR 3206 Health Psychology,MADR 3008 Fundamentals Of Marketing,MADR 3002 Ecology Of Spain,
Student 20,MADR 3006 World Religion,"MADR 3019 Culture, Globalization & The Media",MADR 3025 Modern Masters,MADR 3711 Psychology In The Workplace,
Student 21,MADR 4041 Algorithms & Data Structures,MADR 4611 Programming Interactive Computer Graphics And Games,MADR 3026 100% Made In Spain (esp),MADR 3024 Spanish For The Workplace,
Student 22,MADR 4901 Research Laboratory In Psychology,MADR 3301 Cross-Cultural Psychology,MADR 3024 Spanish For The Workplace,MADR 3025 Modern Masters,
Student 23,MADR 3031 Sensation And Perception,MADR 3711 Psychology In The Workplace,MADR 3301 Cross-Cultural Psychology,MADR 3206 Health Psychology,
Student 24,,,,,
Student 25,MADR 3026 100% Made In Spain (esp),MADR 3024 Spanish For The Workplace,MADR 3013 Spanish Civilization (esp),MADR 3008 Fundamentals Of Marketing,
Student 26,MADR 1003 Intermediate Spanish (I),MADR 3014 Corporate Social Responsibility,MADR 3711 Psychology In The Workplace,MADR 3012 Internship In Spain,
Student 27,MADR 3002 Ecology Of Spain,"MADR 3019 Culture, Globalization & The Media",MADR 3018 Introduction To Biological Psychology,MADR 3012 Internship In Spain,MADR 3024 Spanish For The Workplace
Student 28,MADR 3026 100% Made In Spain (esp),MADR 3017 Spanish Conversation,MADR 3024 Spanish For The Workplace,MADR 3025 Modern Masters,"MADR 3019 Culture, Globalization & The Media"
