course_code,course_name,instructor,availability_1,availability_2
MADR 1001,BEGINNING SPANISH (I),Lola Romero,M/W 1st or second period,T/TH first or second period
MADR 1002,BEGINNING SPANISH (II),Carmen Chacón,anytime M/W after 12:00,
MADR 1003,INTERMEDIATE SPANISH (I),Isabel Piera,T/TH 9:30-10:50,T/TH 11:00-12:20
MADR 1004,INTERMEDIATE SPANISH (II),Diego Pita,,
MADR 3001,FINANCIAL MANAGEMENT,Luis Toro,,
MADR 3002,ECOLOGY OF SPAIN,Tania de la Fuente,,
MADR 3006,WORLD RELIGION,Carlos Colón,M/W 9:30-12:20,T/TH 9:30-12:20
MADR 3008,FUNDAMENTALS OF MARKETING,Luis Toro,T/TH after 12:30,
MADR 3012,INTERNSHIP IN SPAIN,Carlos Colón,M/W 9:30-12:20,T/TH 9:30-12:20
MADR 3013,SPANISH CIVILIZATION,Isabel Menéndez,,
MADR 3014,CORPORATE SOCIAL RESPONSIBILITY,Carlos Colón,M/W 9:30-12:20,T/TH 9:30-12:20
MADR 3017,SPANISH CONVERSATION,Isabel Piera,T/TH 9:30-10:50,T/TH 11:00-12:20
MADR 3018,INTRODUCTION TO BIOLOGICAL PSYCHOLOGY,Ksenija Jovanovic,"any time T/TH, prefers second period",
MADR 3019,"CULTURE, GLOBALIZATION & THE MEDIA",David Sarias,two classes in a row Thursdays after 15:00,
MADR 3021,ART AT THE PRADO MUSEUM,Marta López Beriso,Tuesdays (classroom) 14:00-15:20,Thursdays museum 16:00-17:20
MADR 3023,HUMAN NEUROANATOMY,Ksenija Jovanovic,,
MADR 3024,SPANISH FOR THE WORKPLACE,Lola Romero,M/W 1st or second period,T/TH first or second period
MADR 3025,MODERN MASTERS,Marta López Beriso,,
MADR 3026,100% MADE IN SPAIN,Isabel Menéndez,,
MADR 3027,CONTEMPORARY SPANISH HISTORY THROUGH FILM,Marta López Beriso,,
MADR 3031,SENSATION AND PERCEPTION,Marta Gray,,
MADR 3081W,PROGRAM DESIGN AND DEVELOPMENT,Anas Abbood,,
MADR 3206,HEALTH PSYCHOLOGY,Miriam Mower,,
MADR 3301,CROSS-CULTURAL PSYCHOLOGY,Samar Khalife,T/TH 10:30-13:50,
MADR 3604,INTRO TO PSYCHOPATHOLOGY,Amanda Blanco,M/W 9:30-10:50,
MADR 3711,PSYCHOLOGY IN THE WORKPLACE,Samar Khalife,T/TH 10:30-13:50,
MADR 4041,ALGORITHMS & DATA STRUCTURES,Diego González,,
MADR 4511W,INTRO TO AI,Ana Sanmartín,M/W after 16:00,
MADR 4611,PROGRAMMING INTERACTIVE COMPUTER GRAPHICS AND GAMES,Anas Abbood,,
MADR 4901,RESEARCH LABORATORY IN PSYCHOLOGY,Julian Taylor,,
