student_id,course_id
1,MADR 3006
1,MADR 3014
1,MADR 3711
1,MADR 3002
2,MADR 1001
2,MADR 3006
2,MADR 3014
2,MADR 3711
3,MADR 3019
3,MADR 3014
3,MADR 3301
3,MADR 3711
4,MADR 3019
4,MADR 3604
4,MADR 4901
4,MADR 3017
5,MADR 3031
5,MADR 3206
5,MADR 3711
5,MADR 3002
6,MADR 3001
6,MADR 3206
6,MADR 3604
6,MADR 3025
7,MADR 3023
7,MADR 3018
7,MADR 3711
7,MADR 3021
8,MADR 4511W
8,UC3M 13205
8,MADR 3012
8,MADR 3021
8,MADR 1001
9,MADR 1002
9,MADR 3006
9,MADR 3021
9,MADR 3711
10,MADR 3001
10,MADR 3206
10,MADR 3025
10,MADR 3012
11,MADR 4901
11,MADR 3023
11,MADR 3027
11,MADR 3604
12,MADR 3206
12,MADR 3301
12,MADR 4901
12,MADR 1001
13,MADR 4901
13,MADR 3002
13,MADR 3025
13,MADR 3206
13,MADR 3604
14,MADR 3017
14,MADR 3024
14,MADR 3006
14,MADR 3025
15,MADR 3301
15,MADR 3013
15,MADR 3017
15,MADR 3031
15,MADR 3006
16,MADR 3008
16,MADR 3012
16,MADR 3019
16,MADR 3014
17,MADR 1001
17,MADR 3006
17,MADR 3014
17,MADR 3711
18,MADR 3021
18,MADR 3711
18,MADR 3002
18,MADR 3206
19,MADR 3023
19,MADR 3206
19,MADR 3008
19,MADR 3002
20,MADR 3006
20,MADR 3019
20,MADR 3025
20,MADR 3711
21,MADR 4041
21,MADR 4611
21,MADR 3026
21,MADR 3024
22,MADR 4901
22,MADR 3301
22,MADR 3024
22,MADR 3025
23,MADR 3031
23,MADR 3711
23,MADR 3301
23,MADR 3206
25,MADR 3026
25,MADR 3024
25,MADR 3013
25,MADR 3008
26,MADR 1003
26,MADR 3014
26,MADR 3711
26,MADR 3012
27,MADR 3002
27,MADR 3019
27,MADR 3018
27,MADR 3012
27,MADR 3024
28,MADR 3026
28,MADR 3017
28,MADR 3024
28,MADR 3025
28,MADR 3019
29,MADR 1001
29,MADR 3711
29,MADR 3006
29,MADR 3019
30,MADR 3018
30,MADR 3604
30,MADR 1004
30,MADR 4901
31,MADR 3711
31,MADR 3031
31,MADR 3018
31,MADR 3021
32,MADR 3604
32,MADR 3711
32,MADR 3206
32,MADR 3301
33,MADR 4041
33,MADR 4511W
33,MADR 3012
34,MADR 1004
34,MADR 3019
34,MADR 3301
34,MADR 3031
35,MADR 1001
35,MADR 3019
35,MADR 3014
36,MADR 3021
36,MADR 3301
36,MADR 3711
36,MADR 3025
37,MADR 3301
37,MADR 3006
37,MADR 3019
37,MADR 3031
38,MADR 3301
38,MADR 3017
38,MADR 3006
38,MADR 3025
39,MADR 4901
39,MADR 3023
39,MADR 3027
39,MADR 3604
40,MADR 3017
40,MADR 3026
40,MADR 3024
40,MADR 3013
41,MADR 3604
41,MADR 3206
41,MADR 4901
41,MADR 3025
42,MADR 4511W
42,MADR 4611
42,MADR 3001
42,MADR 3021
43,MADR 3002
43,MADR 3206
43,MADR 3025
43,MADR 3012
44,MADR 3081W
44,MADR 4041
44,MADR 4511W
45,MADR 1001
45,MADR 3006
45,MADR 3014
45,MADR 3711
46,MADR 3021
46,MADR 3002
46,MADR 3012
46,MADR 3025
47,MADR 3006
47,MADR 3012
47,MADR 3019
47,MADR 3301
48,MADR 3301
48,MADR 3711
48,MADR 3206
48,MADR 1004
49,MADR 3006
49,MADR 3014
49,MADR 3711
49,MADR 3002
50,MADR 3017
50,MADR 3019
50,MADR 3026
50,MADR 3021
51,MADR 3012
51,MADR 3013
51,MADR 3017
51,MADR 3021
52,MADR 3018
52,MADR 3711
52,MADR 3031
52,MADR 3301
53,MADR 3018
53,MADR 4901
53,MADR 3711
53,MADR 3031
54,MADR 4041
54,MADR 4611
54,MADR 3012
54,MADR 3014
55,MADR 3008
55,MADR 3301
55,MADR 3019
55,MADR 3025
56,MADR 3017
56,MADR 3026
56,MADR 3019
56,MADR 3021
57,MADR 3031
57,MADR 4901
57,MADR 3206
57,MADR 3301
58,MADR 3301
58,MADR 3711
58,MADR 3006
58,MADR 3025
59,MADR 4041
59,MADR 3081W
59,MADR 4511W
59,MADR 3031
60,MADR 3031
60,MADR 3021
60,MADR 3711
60,MADR 3025
60,MADR 3301
61,MADR 3031
61,MADR 4901
61,MADR 3002
61,MADR 3206
62,MADR 3002
62,MADR 3012
62,MADR 1001
62,MADR 3021
63,MADR 3012
63,MADR 3024
63,MADR 3017
63,MADR 3301
64,MADR 3021
64,MADR 3025
64,MADR 3711
64,MADR 3301
65,MADR 3013
65,MADR 3027
65,MADR 3012
65,MADR 3024
66,MADR 1001
66,MADR 3006
66,MADR 3014
66,MADR 3711
67,MADR 4511W
67,MADR 3012
67,MADR 3001
67,MADR 3008
68,MADR 3001
68,MADR 3014
68,MADR 3019
68,MADR 3206
69,MADR 3018
69,MADR 3017
69,MADR 4901
69,MADR 3021
70,MADR 3604
70,MADR 3017
70,MADR 3024
70,MADR 3026
71,MADR 3023
71,MADR 4901
71,MADR 3017
71,MADR 3021
72,MADR 3002
72,MADR 3014
72,MADR 3021
72,MADR 1001
73,MADR 3012
73,MADR 3017
73,MADR 3006
73,MADR 3021
73,MADR 3301
74,MADR 1003
74,MADR 3301
74,MADR 3008
75,MADR 3021
75,MADR 3001
75,MADR 3014
75,MADR 3002
76,MADR 3031
76,MADR 3301
76,MADR 3024
76,MADR 3025
77,MADR 3025
77,MADR 3019
77,MADR 3206
77,MADR 1001
