studentId,courseCode,day,period,roomNumber
1,MADR 3002,T,5,Room 2
1,MADR 3002,TH,5,Room 2
1,MADR 3006,M,2,Room 7
1,MADR 3006,W,2,Room 7
1,MADR 3014,T,2,Room 7
1,MADR 3014,TH,2,Room 7
1,MADR 3711,T,1,Room 1
1,MADR 3711,TH,1,Room 1
2,MADR 1001,M,8,Room 2
2,MADR 1001,W,8,Room 2
2,MADR 3006,M,2,Room 7
2,MADR 3006,W,2,Room 7
2,MADR 3014,T,2,Room 7
2,MADR 3014,TH,2,Room 7
2,MADR 3711,T,1,Room 1
2,MADR 3711,TH,1,Room 1
3,MADR 3014,T,2,Room 7
3,MADR 3014,TH,2,Room 7
3,MADR 3019,TH,6,Room 7
3,MADR 3301,T,2,Room 1
3,MADR 3301,TH,2,Room 1
3,MADR 3711,T,1,Room 1
3,MADR 3711,TH,1,Room 1
4,MADR 3017,T,2,Room 2
4,MADR 3017,TH,2,Room 2
4,MADR 3019,TH,6,Room 7
4,MADR 3604,M,1,Room 5
4,MADR 3604,W,1,Room 5
4,MADR 4901,T,5,Room 9
4,MADR 4901,TH,5,Room 9
5,MADR 3002,T,5,Room 2
5,MADR 3002,TH,5,Room 2
5,MADR 3031,M,7,Room 2
5,MADR 3031,T,7,Room 2
5,MADR 3031,TH,7,Room 2
5,MADR 3031,W,7,Room 2
5,MADR 3206,M,7,Room 9
5,MADR 3206,T,7,Room 9
5,MADR 3206,TH,7,Room 9
5,MADR 3206,W,7,Room 9
5,MADR 3711,T,1,Room 1
5,MADR 3711,TH,1,Room 1
6,MADR 3001,T,5,Room 3
6,MADR 3001,TH,5,Room 3
6,MADR 3025,M,7,Room 7
6,MADR 3025,T,7,Room 7
6,MADR 3025,TH,7,Room 7
6,MADR 3025,W,7,Room 7
6,MADR 3206,M,7,Room 9
6,MADR 3206,T,7,Room 9
6,MADR 3206,TH,7,Room 9
6,MADR 3206,W,7,Room 9
6,MADR 3604,M,1,Room 5
6,MADR 3604,W,1,Room 5
7,MADR 3018,T,5,Room 5
7,MADR 3018,TH,5,Room 5
