studentId,courseCode,day,period,roomNumber
1,MADR 3002,T,6,Room 4
1,MADR 3002,TH,6,Room 4
1,MADR 3006,T,1,Room 4
1,MADR 3006,TH,1,Room 4
1,MADR 3014,M,1,Room 1
1,MADR 3014,W,1,Room 1
1,MADR 3711,T,2,Room 4
1,MADR 3711,TH,2,Room 4
2,MADR 1001,T,8,Room 1
2,MADR 1001,TH,8,Room 1
2,MADR 3006,T,1,Room 4
2,MADR 3006,TH,1,Room 4
2,MADR 3014,M,1,Room 1
2,MADR 3014,W,1,Room 1
2,MADR 3711,T,2,Room 4
2,MADR 3711,TH,2,Room 4
3,MADR 3014,M,1,Room 1
3,MADR 3014,W,1,Room 1
3,MADR 3019,TH,6,Room 9
3,MADR 3301,T,1,Room 1
3,MADR 3301,TH,1,Room 1
3,MADR 3711,T,2,Room 4
3,MADR 3711,TH,2,Room 4
4,MADR 3017,T,1,Room 2
4,MADR 3017,TH,1,Room 2
4,MADR 3019,TH,6,Room 9
4,MADR 3604,M,1,Room 2
4,MADR 3604,W,1,Room 2
4,MADR 4901,T,6,Room 6
4,MADR 4901,TH,6,Room 6
5,MADR 3002,T,6,Room 4
5,MADR 3002,TH,6,Room 4
5,MADR 3031,M,3,Room 2
5,MADR 3031,T,3,Room 2
5,MADR 3031,TH,3,Room 2
5,MADR 3031,W,3,Room 2
5,MADR 3206,M,3,Room 4
5,MADR 3206,T,3,Room 4
5,MADR 3206,TH,3,Room 4
5,MADR 3206,W,3,Room 4
5,MADR 3711,T,2,Room 4
5,MADR 3711,TH,2,Room 4
6,MADR 3001,T,1,Room 3
6,MADR 3001,TH,1,Room 3
6,MADR 3025,M,3,Room 1
6,MADR 3025,T,3,Room 1
6,MADR 3025,TH,3,Room 1
6,MADR 3025,W,3,Room 1
6,MADR 3206,M,3,Room 4
6,MADR 3206,T,3,Room 4
6,MADR 3206,TH,3,Room 4
6,MADR 3206,W,3,Room 4
6,MADR 3604,M,1,Room 2
6,MADR 3604,W,1,Room 2
7,MADR 3018,T,6,Room 5
7,MADR 3018,TH,6,Room 5
7,MADR 3021,T,5,Room 1
7,MADR 3023,M,3,Room 5
7,MADR 3023,T,3,Room 5
7,MADR 3023,TH,3,Room 5
7,MADR 3023,W,3,Room 5
7,MADR 3711,T,2,Room 4
7,MADR 3711,TH,2,Room 4
8,MADR 1001,T,8,Room 1
8,MADR 1001,TH,8,Room 1
8,MADR 3012,M,2,Room 1
8,MADR 3012,T,2,Room 1
8,MADR 3012,TH,2,Room 1
8,MADR 3012,W,2,Room 1
8,MADR 3021,T,5,Room 1
8,MADR 4511W,M,7,Room 1
8,MADR 4511W,W,7,Room 1
9,MADR 1002,M,7,Room 2
9,MADR 1002,W,7,Room 2
9,MADR 3006,T,1,Room 4
9,MADR 3006,TH,1,Room 4
9,MADR 3021,T,5,Room 1
9,MADR 3711,T,2,Room 4
9,MADR 3711,TH,2,Room 4
10,MADR 3001,T,1,Room 3
10,MADR 3001,TH,1,Room 3
10,MADR 3012,M,2,Room 1
10,MADR 3012,T,2,Room 1
10,MADR 3012,TH,2,Room 1
10,MADR 3012,W,2,Room 1
10,MADR 3025,M,3,Room 1
10,MADR 3025,T,3,Room 1
10,MADR 3025,TH,3,Room 1
10,MADR 3025,W,3,Room 1
10,MADR 3206,M,3,Room 4
10,MADR 3206,T,3,Room 4
10,MADR 3206,TH,3,Room 4
10,MADR 3206,W,3,Room 4
11,MADR 3023,M,3,Room 5
11,MADR 3023,T,3,Room 5
11,MADR 3023,TH,3,Room 5
11,MADR 3023,W,3,Room 5
11,MADR 3027,M,6,Room 2
11,MADR 3027,T,6,Room 2
11,MADR 3027,TH,6,Room 2
11,MADR 3027,W,6,Room 2
