studentId,courseCode,day,period,roomNumber
1,MADR 3002,T,4,Room 2
1,MADR 3002,TH,4,Room 2
1,MADR 3006,M,2,Room 4
1,MADR 3006,W,2,Room 4
1,MADR 3014,M,1,Room 4
1,MADR 3014,W,1,Room 4
1,MADR 3711,T,1,Room 1
1,MADR 3711,TH,1,Room 1
2,MADR 1001,T,2,Room 7
2,MADR 1001,TH,2,Room 7
2,MADR 3006,M,2,Room 4
2,MADR 3006,W,2,Room 4
2,MADR 3014,M,1,Room 4
2,MADR 3014,W,1,Room 4
2,MADR 3711,T,1,Room 1
2,MADR 3711,TH,1,Room 1
3,MADR 3014,M,1,Room 4
3,MADR 3014,W,1,Room 4
3,MADR 3019,TH,6,Room 9
3,MADR 3019,TH,7,Room 9
3,MADR 3301,T,2,Room 6
3,MADR 3301,TH,2,Room 6
3,MADR 3711,T,1,Room 1
3,MADR 3711,TH,1,Room 1
4,MADR 3017,T,1,Room 4
4,MADR 3017,TH,1,Room 4
4,MADR 3019,TH,6,Room 9
4,MADR 3019,TH,7,Room 9
4,MADR 3604,M,1,Room 9
4,MADR 3604,W,1,Room 9
4,MADR 4901,M,5,Room 9
5,MADR 3002,T,4,Room 2
5,MADR 3002,TH,4,Room 2
5,MADR 3031,T,5,Room 9
5,MADR 3031,TH,5,Room 9
5,MADR 3206,M,5,Room 7
5,MADR 3206,W,5,Room 7
5,MADR 3711,T,1,Room 1
5,MADR 3711,TH,1,Room 1
6,MADR 3001,T,7,Room 4
6,MADR 3001,TH,7,Room 4
6,MADR 3025,M,4,Room 1
6,MADR 3025,W,4,Room 1
6,MADR 3206,M,5,Room 7
6,MADR 3206,W,5,Room 7
6,MADR 3604,M,1,Room 9
6,MADR 3604,W,1,Room 9
7,MADR 3018,T,4,Room 9
7,MADR 3018,TH,4,Room 9
7,MADR 3021,T,5,Room 6
7,MADR 3023,T,5,Room 3
7,MADR 3023,TH,5,Room 3
7,MADR 3711,T,1,Room 1
7,MADR 3711,TH,1,Room 1
8,MADR 1001,T,2,Room 7
8,MADR 1001,TH,2,Room 7
8,MADR 3012,T,1,Room 6
8,MADR 3021,T,5,Room 6
8,MADR 4511W,M,7,Room 8
8,MADR 4511W,W,7,Room 8
9,MADR 1002,M,3,Room 3
9,MADR 1002,W,3,Room 3
9,MADR 3006,M,2,Room 4
9,MADR 3006,W,2,Room 4
9,MADR 3021,T,5,Room 6
9,MADR 3711,T,1,Room 1
9,MADR 3711,TH,1,Room 1
10,MADR 3001,T,7,Room 4
10,MADR 3001,TH,7,Room 4
10,MADR 3012,T,1,Room 6
10,MADR 3025,M,4,Room 1
10,MADR 3025,W,4,Room 1
10,MADR 3206,M,5,Room 7
10,MADR 3206,W,5,Room 7
11,MADR 3023,T,5,Room 3
11,MADR 3023,TH,5,Room 3
11,MADR 3027,M,7,Room 1
11,MADR 3027,W,7,Room 1
11,MADR 3604,M,1,Room 9
11,MADR 3604,W,1,Room 9
11,MADR 4901,M,5,Room 9
12,MADR 1001,T,2,Room 7
12,MADR 1001,TH,2,Room 7
12,MADR 3206,M,5,Room 7
12,MADR 3206,W,5,Room 7
12,MADR 3301,T,2,Room 6
12,MADR 3301,TH,2,Room 6
12,MADR 4901,M,5,Room 9
13,MADR 3002,T,4,Room 2
13,MADR 3002,TH,4,Room 2
13,MADR 3025,M,4,Room 1
13,MADR 3025,W,4,Room 1
13,MADR 3206,M,5,Room 7
13,MADR 3206,W,5,Room 7
13,MADR 3604,M,1,Room 9
13,MADR 3604,W,1,Room 9
13,MADR 4901,M,5,Room 9
14,MADR 3006,M,2,Room 4
14,MADR 3006,W,2,Room 4
14,MADR 3017,T,1,Room 4
14,MADR 3017,TH,1,Room 4
14,MADR 3024,M,1,Room 7
14,MADR 3024,W,1,Room 7
14,MADR 3025,M,4,Room 1
14,MADR 3025,W,4,Room 1
15,MADR 3006,M,2,Room 4
15,MADR 3006,W,2,Room 4
15,MADR 3013,T,4,Room 5
15,MADR 3013,TH,4,Room 5
15,MADR 3017,T,1,Room 4
15,MADR 3017,TH,1,Room 4
15,MADR 3031,T,5,Room 9
15,MADR 3031,TH,5,Room 9
15,MADR 3301,T,2,Room 6
15,MADR 3301,TH,2,Room 6
16,MADR 3008,T,6,Room 2
16,MADR 3008,TH,6,Room 2
16,MADR 3012,T,1,Room 6
16,MADR 3014,M,1,Room 4
16,MADR 3014,W,1,Room 4
16,MADR 3019,TH,6,Room 9
16,MADR 3019,TH,7,Room 9
17,MADR 1001,T,2,Room 7
17,MADR 1001,TH,2,Room 7
17,MADR 3006,M,2,Room 4
17,MADR 3006,W,2,Room 4
17,MADR 3014,M,1,Room 4
17,MADR 3014,W,1,Room 4
17,MADR 3711,T,1,Room 1
17,MADR 3711,TH,1,Room 1
18,MADR 3002,T,4,Room 2
18,MADR 3002,TH,4,Room 2
18,MADR 3021,T,5,Room 6
18,MADR 3206,M,5,Room 7
18,MADR 3206,W,5,Room 7
18,MADR 3711,T,1,Room 1
18,MADR 3711,TH,1,Room 1
19,MADR 3002,T,4,Room 2
19,MADR 3002,TH,4,Room 2
19,MADR 3008,T,6,Room 2
19,MADR 3008,TH,6,Room 2
19,MADR 3023,T,5,Room 3
19,MADR 3023,TH,5,Room 3
19,MADR 3206,M,5,Room 7
19,MADR 3206,W,5,Room 7
20,MADR 3006,M,2,Room 4
20,MADR 3006,W,2,Room 4
20,MADR 3019,TH,6,Room 9
20,MADR 3019,TH,7,Room 9
20,MADR 3025,M,4,Room 1
20,MADR 3025,W,4,Room 1
20,MADR 3711,T,1,Room 1
20,MADR 3711,TH,1,Room 1
21,MADR 3024,M,1,Room 7
21,MADR 3024,W,1,Room 7
21,MADR 3026,M,4,Room 7
21,MADR 3026,W,4,Room 7
21,MADR 4041,T,3,Room 3
21,MADR 4041,TH,3,Room 3
21,MADR 4611,T,4,Room 1
21,MADR 4611,TH,4,Room 1
22,MADR 3024,M,1,Room 7
22,MADR 3024,W,1,Room 7
22,MADR 3025,M,4,Room 1
22,MADR 3025,W,4,Room 1
22,MADR 3301,T,2,Room 6
22,MADR 3301,TH,2,Room 6
22,MADR 4901,M,5,Room 9
23,MADR 3031,T,5,Room 9
23,MADR 3031,TH,5,Room 9
23,MADR 3206,M,5,Room 7
23,MADR 3206,W,5,Room 7
23,MADR 3301,T,2,Room 6
23,MADR 3301,TH,2,Room 6
23,MADR 3711,T,1,Room 1
23,MADR 3711,TH,1,Room 1
25,MADR 3008,T,6,Room 2
25,MADR 3008,TH,6,Room 2
25,MADR 3013,T,4,Room 5
25,MADR 3013,TH,4,Room 5
25,MADR 3024,M,1,Room 7
25,MADR 3024,W,1,Room 7
25,MADR 3026,M,4,Room 7
25,MADR 3026,W,4,Room 7
26,MADR 1003,T,2,Room 1
26,MADR 1003,TH,2,Room 1
26,MADR 3012,T,1,Room 6
26,MADR 3014,M,1,Room 4
26,MADR 3014,W,1,Room 4
26,MADR 3711,T,1,Room 1
26,MADR 3711,TH,1,Room 1
27,MADR 3002,T,4,Room 2
27,MADR 3002,TH,4,Room 2
27,MADR 3012,T,1,Room 6
27,MADR 3018,T,4,Room 9
27,MADR 3018,TH,4,Room 9
27,MADR 3019,TH,6,Room 9
27,MADR 3019,TH,7,Room 9
27,MADR 3024,M,1,Room 7
27,MADR 3024,W,1,Room 7
28,MADR 3017,T,1,Room 4
28,MADR 3017,TH,1,Room 4
28,MADR 3019,TH,6,Room 9
